 Voornaam,Naam,Achternaam,,Username,Intern,E-mailadres,Mobiel,Adres,Postcode,Netnr,Telnr,Plaats,Bedrijfsonderdeel,Afdeling,Functie,Geboorteplaats,Geboorteland,Geboortedatum,Passwords,ou
Betsy,Bloemendaal,ten Bloemendaal,ten,bbloemendaal,163,betsybloemendaal@amerijck.net,0616063783,Toon Dupuisstraat 89,2552 SC   ,070,3452424,Den Haag,Famous Frog Logistics,Managementondersteuning,Management assistent,Twello,nl,3/18/1962,AMrck11,"OU=Personeel,DC=Amerijck,DC=local"
Boris,Zwart, Zwart,,bzwart,197,boriszwart@amerijck.net,0641855968,,,,,,Holland House Resort,Marketing & Communicatie,Teamleider,,nl,,AMrck12,"OU=Personeel,DC=Amerijck,DC=local"
Boudewijn,Boxel,van Boxel,van,bboxel,127,boudewijnboxel@amerijck.net,0614178115,Jacques Tatilaan 20 ,1325 RK   ,036,5316961,Almere,Black Tulip Retail,Supermarkt,Verkoper,Wageningen,nl,,AMrck13,"OU=Personeel,DC=Amerijck,DC=local"
Carlos,Zafon, Zafon,,czafon,180,carloszafon@amerijck.net,0699673269,IJsselmeerstraat 38,1779 XD,0227,512620,Den Oever,Holland House Resort,Beheer,Contactcenter medewerker,Valladolid,Spanje,,AMrck14,"OU=Personeel,DC=Amerijck,DC=local"
Cees,Roemburg,van Roemburg,van,croemburg,129,ceesroemburg@amerijck.net,0645458790,P J H Cuypersstraat 8 ,1333 PB   ,036,5378102,Almere,Black Tulip Retail,Supermarkt,Aankomend verkoopmedewerker,Weesp,nl,,AMrck15,"OU=Personeel,DC=Amerijck,DC=local"
Coen,Konijn, Konijn,,ckonijn,104,coenkonijn@amerijck.net,0653400662,Tobias Asserlaan 244 ,1111 JT   ,020,4201362,Amsterdam,Black Tulip Retail,Managementteam,Ondernemer,Amsterdam,nl,,AMrck16,"OU=Personeel,DC=Amerijck,DC=local"
Constance,Wichers, Wichers,,cwichers,137,constancewichers@amerijck.net,0622800526,Vrijmark 23 ,1355 GB   ,036,5360008,Almere,Holland House Resort,Marketing & Communicatie,Secretarieel medewerker,Apeldoorn,nl,,AMrck17,"OU=Personeel,DC=Amerijck,DC=local"
Daniël,Dekker, Dekker,,ddekker,110,daniëldekker@amerijck.net,0622930696,Johan van Soesstraat 53 ,1111 BB   ,020,6994558,Amsterdam,Hoofdkantoor,Administratie,Management assistent,Tiel,nl,,AMrck18,"OU=Personeel,DC=Amerijck,DC=local"
Erin,Gaans, Gaans,,egaans,143,eringaans@amerijck.net,0650236053,Esweg 93 ,9411 AD ,0593,523029,Beilen,Orange Beach Camping,Camping,Medewerker camping,Assen,nl,,AMrck19,"OU=Personeel,DC=Amerijck,DC=local"
Erwin,Himmelreich, Himmelreich,,ehimmelreich,138,erwinhimmelreich@amerijck.net,0624283048,Wilgengriend 72 ,1356 JE   ,036,5353953,Almere,Holland House Resort,Marketing & Communicatie,Communicatiemedewerker,Dusseldorf,Duitsland,,AMrck20,"OU=Personeel,DC=Amerijck,DC=local"
Francien,Bouwmeester, Bouwmeester,,fbouwmeester,114,francienbouwmeester@amerijck.net,0619638057,Van Dijkstraat 14 ,1111 ND   ,020,4000010,Amsterdam,Black Tulip Retail,Mode,Verkoopspecialist mode,Joure,nl,,AMrck21,"OU=Personeel,DC=Amerijck,DC=local"
Gabriela,Assad, Assad,,gassad,184,gabrielaassad@amerijck.net,0619202918,Hartochstraat 1,7204 GM,0575,517470,Zutphen,Holland House Resort,Marketing & Communicatie,Junior accountmanager,Damascus,Syrië,,AMrck22,"OU=Personeel,DC=Amerijck,DC=local"
Gerald,Falcon, Falcon,,gfalcon,,,,,,,,,Hoofdkantoor,Directie,CEO,Manchester,United Kingdom,,AMrck23,"OU=Personeel,DC=Amerijck,DC=local"
Gerard,Spit, Spit,,gspit,,,,,,,,,Hoofdkantoor,P&O,ARBO medewerker,Putten,nl,,AMrck24,"OU=Personeel,DC=Amerijck,DC=local"
Gerry,Ackroyd, Ackroyd,,gackroyd,193,gerryackroyd@amerijck.net,0642396022,Raam 18,5172 DD,0416,275917,Kaatsheuvel,Hoofdkantoor,ICT,Netwerkbeheerder,Kaatsheuvel,nl,,AMrck25,"OU=Personeel,DC=Amerijck,DC=local"
Gert,Hell,van Hell,van,ghell,144,gerthell@amerijck.net,0614891273,Burg Pabstlaan 260,2131 XW   ,023,5623648,Hoofddorp,Hoofdkantoor,Algemene zaken,Toezichthouder gebouwen,,nl,,AMrck26,"OU=Personeel,DC=Amerijck,DC=local"
Gianfranco,Bliksteen, Bliksteen,,gbliksteen,,,,,,,,,Hoofdkantoor,P&O,Management assistent,Brokopondo,suriname,,AMrck27,"OU=Personeel,DC=Amerijck,DC=local"
Giedrius,Vasilauskas, Vasilauskas,,gvasilauskas,186,giedriusvasilauskas@amerijck.net,0645620942,Bredevaert 17,5171 MH,0416,277198,Kaatsheuvel,Hoofdkantoor,ICT,ICT Beheerder,Vilnius,Litouwen,,AMrck28,"OU=Personeel,DC=Amerijck,DC=local"
Gina,Mol, Mol,,gmol,,,,,,,,,Hoofdkantoor,Public Relations,Communicatiemedewerker,Borger,nl,,AMrck29,"OU=Personeel,DC=Amerijck,DC=local"
Guido,Staalduinen,van Staalduinen,van,gstaalduinen,131,guidostaalduinen@amerijck.net,0628240714,Pinksterbloemweg 86 ,1338 MB   ,036,5409798,Almere,Black Tulip Retail,Supermarkt,Aankomend verkoopmedewerker,,nl,,AMrck30,"OU=Personeel,DC=Amerijck,DC=local"
Haleema,Ndour, Ndour,,hndour,117,haleemandour@amerijck.net,0654202772,Boeier 6 ,1113 GJ   ,020,6008915,Amsterdam,Black Tulip Retail,Kadoshop,Afdelingsmanager,,Ghana,,AMrck31,"OU=Personeel,DC=Amerijck,DC=local"
Halim,Melen, Melen,,hmelen,125,halimmelen@amerijck.net,0614431361,James Stewartstraat 70 ,1325 JG   ,036,5320989,Almere,Black Tulip Retail,Supermarkt,Eerste verkoper,,Turkije,,AMrck32,"OU=Personeel,DC=Amerijck,DC=local"
Han ,Koppele,te  Koppele,te ,hkoppele,,,,,,,,,Hoofdkantoor,Inkoop,Strategisch inkoper,Nijmegen,nl,,AMrck33,"OU=Personeel,DC=Amerijck,DC=local"
Hanna,Haverkort, Haverkort,,hhaverkort,115,hannahaverkort@amerijck.net,0654394138,Meidoornplein 7 ,1112 EJ   ,020,6223054,Amsterdam,Black Tulip Retail,Mode,Verkoopspecialist mode,Franeker,nl,,AMrck34,"OU=Personeel,DC=Amerijck,DC=local"
Harry,Mulder, Mulder,,hmulder,156,harrymulder@amerijck.net,0629445458,Verheeskade 397,2521 DE   ,070,3837463,Den Haag,Famous Frog Logistics,Transport,Assistent logistiek medewerker,Den Haag,nl,,AMrck35,"OU=Personeel,DC=Amerijck,DC=local"
Heleen,Herpen,van Herpen,van,hherpen,123,heleenherpen@amerijck.net,0624686428,Schumannstraat 18 ,1323 BV   ,036,5326778,Almere,Black Tulip Retail,Kiosk,Aankomend verkoopmedewerker,,nl,,AMrck36,"OU=Personeel,DC=Amerijck,DC=local"
Henk,Groot,de Groot,de,hgroot,153,henkgroot@amerijck.net,0653495745,Cameliadal 17,2317 HJ   ,071,5767555,Leiden,Famous Frog Logistics,Orderverwerking,Logistiek medewerker mobiliteitsbranche,,nl,,AMrck37,"OU=Personeel,DC=Amerijck,DC=local"
Herman,Buitenhuis, Buitenhuis,,hbuitenhuis,189,hermanbuitenhuis@amerijck.net,0654622343,Vijverdreef 206,2724 GN,079,3510594,Zoetermeer,Hoofdkantoor,ICT,Medewerker beheer ICT,,nl,,AMrck38,"OU=Personeel,DC=Amerijck,DC=local"
Herre,Busser, Busser,,hbusser,154,herrebusser@amerijck.net,0655565765,Ronner-Knipstraat 71,2331 LX   ,071,5765289,Leiden,Famous Frog Logistics,Orderverwerking,Assistent logistiek medewerker,,nl,,AMrck39,"OU=Personeel,DC=Amerijck,DC=local"
Hugo,Garcia, Garcia,,hgarcia,,,,,,,,,Hoofdkantoor,Public Relations,Manager Public Relations,Valencia,spanje,,AMrck40,"OU=Personeel,DC=Amerijck,DC=local"
Ibn,Battuta, Battuta,,ibattuta,183,ibnbattuta@amerijck.net,0653583982,Bankastraat 3/N ,1094 CZ   ,020,6943667,Amsterdam,Hoofdkantoor,Administratie,Assistent accountant,Teheran,Iran,2/21/1968,AMrck41,"OU=Personeel,DC=Amerijck,DC=local"
Imro,Latain, Latain,,ilatain,148,imrolatain@amerijck.net,0627315069,Noordvaarder 15 ,2134 XZ   ,023,5625823,Hoofddorp,Famous Frog Logistics,Goederenontvangst,Logistiek medewerker,Algiers,Algerije,,AMrck42,"OU=Personeel,DC=Amerijck,DC=local"
Isaac,Moskovic, Moskovic,,imoskovic,,,,,,,,,Hoofdkantoor,Public Relations,Juridisch medewerker,Gdansk,polen,,AMrck43,"OU=Personeel,DC=Amerijck,DC=local"
Isabel,Hutchinson, Hutchinson,,ihutchinson,181,isabelhutchinson@amerijck.net,0653670853,Stationsweg 9/A ,2131 XC   ,023,5634947,Hoofddorp,Holland House Resort,Beheer,Administratief medewerker,,nl,,AMrck44,"OU=Personeel,DC=Amerijck,DC=local"
Ismail,Hensbergen, Hensbergen,,ihensbergen,142,ismailhensbergen@amerijck.net,0650508567,Lisdodde 56 ,9207 AS   ,0512,523953,Drachten,Orange Beach Camping,Camping,Medewerker camping,,nl,,AMrck45,"OU=Personeel,DC=Amerijck,DC=local"
Ismet,Gursel, Gursel,,igursel,124,ismetgursel@amerijck.net,0653197400,Hoensbroekstraat 23 ,1324 ML   ,036,5319345,Almere,Black Tulip Retail,Supermarkt,Filiaalmanager,,Turkije,,AMrck46,"OU=Personeel,DC=Amerijck,DC=local"
Jameela,Kemal, Kemal,,jkemal,159,jameelakemal@amerijck.net,0631066039,Puccinistraat 200,2551 LP   ,070,3609248,Den Haag,Famous Frog Logistics,Bedrijfsburo,Bedrijfsadministratief medewerker,,india,,AMrck47,"OU=Personeel,DC=Amerijck,DC=local"
Jannet,Evers, Evers,,jevers,135,jannetevers@amerijck.net,0624890795,Rietganslaan 12 ,1343 AP   ,036,5328843,Almere,Holland House Resort,Marketing & Communicatie,Exportmedewerker binnendienst,1/14/1987,Lelystad,NL,AMrck48,"OU=Personeel,DC=Amerijck,DC=local"
Jan-Willem,Terpstra, Terpstra,,jterpstra,107,jan-willemterpstra@amerijck.net,0651158402,Heliotrooplaan 358/S,2555 MK   ,070,3453036,Den Haag,Flying Dutchman Activities,Managementteam,Afdelingsmanager,,nl,,AMrck49,"OU=Personeel,DC=Amerijck,DC=local"
Jean,Beddington, Beddington,,jbeddington,222,jeanbeddington@amerijck.net,0615083361,,,,,,El Corazon,Catering,Manager,,nl,,AMrck50,"OU=Personeel,DC=Amerijck,DC=local"
Jobien,Storm, Storm,,jstorm,,,,,,,,,Hoofdkantoor,P&O,HR-medewerker,Arnhem,nl,,AMrck51,"OU=Personeel,DC=Amerijck,DC=local"
Jonathan,Johnson, Johnson,,jjohnson,,,,,,,,,Hoofdkantoor,Inkoop,Bedrijfsadministratief medewerker,Moengo,suriname,,AMrck52,"OU=Personeel,DC=Amerijck,DC=local"
Joop,Koff,de Koff,de,jkoff,,,,,,,,,Hoofdkantoor,P&O,Manager P&O,Tiel,nl,,AMrck53,"OU=Personeel,DC=Amerijck,DC=local"
Judith,Dik, Dik,,jdik,188,judithdik@amerijck.net,0620433379,Zilverschoonstraat 156,9404 JG,0592,352026,Assen,Hoofdkantoor,ICT,Applicatieontwikkelaar,,nl,,AMrck54,"OU=Personeel,DC=Amerijck,DC=local"
Julian,Carax, Carax,,jcarax,176,juliancarax@amerijck.net,0622932467,Pienemanstraat 48 ,1072 KV   ,020,6627664,Amsterdam,Hoofdkantoor,Administratie,Boekhoudkundig medewerker,Venlo,nl,,AMrck55,"OU=Personeel,DC=Amerijck,DC=local"
Julie,Wadenoijen,van Wadenoijen,van,jwadenoijen,119,juliewadenoijen@amerijck.net,0652320806,Klipperweg 49 ,1113 JJ   ,020,6903202,Amsterdam,Black Tulip Retail,Kadoshop,Verkoper,Amsterdam,NL,6/7/1987,AMrck56,"OU=Personeel,DC=Amerijck,DC=local"
Kajsa,Namazie, Namazie,,knamazie,139,kajsanamazie@amerijck.net,0624824119,Malpertuisplein 58/A ,6217 CD   ,043,3670288,Maastricht,Orange Beach Camping,Camping,Medewerker camping,Teheran,Iran,,AMrck57,"OU=Personeel,DC=Amerijck,DC=local"
Khaled,Hosseinii, Hosseinii,,khosseinii,146,khaledhosseinii@amerijck.net,0624214536,Bandholm 46 ,2133 DK   ,023,5382060,Hoofddorp,Famous Frog Logistics,Goederenontvangst,Logistiek teamleider,,Marokko,,AMrck58,"OU=Personeel,DC=Amerijck,DC=local"
Kimberly,Wiel,van de  Wiel,van de ,kwiel,,,,,,,,,Hoofdkantoor,Directie,Telefoniste/receptioniste,Wychen,nl,,AMrck59,"OU=Personeel,DC=Amerijck,DC=local"
Kirsten,Harms, Harms,,kharms,195,kirstenharms@amerijck.net,0641456533,Braamkamp 94,7206 HD,0575,512396,Zutphen,Hoofdkantoor,ICT,ICT Beheerder,,nl,,AMrck60,"OU=Personeel,DC=Amerijck,DC=local"
Koos,Keetman, Keetman,,kkeetman,,,,,,,,,Hoofdkantoor,Public Relations,Communicatiemedewerker,Hellevoetsluis,nl,,AMrck61,"OU=Personeel,DC=Amerijck,DC=local"
Laura,Visser, Visser,,lvisser,116,lauravisser@amerijck.net,0651866149,Haverstede 28 ,1112 HV   ,020,6995180,Amsterdam,Black Tulip Retail,Mode,Verkoper,Zevenaar,NL,,AMrck62,"OU=Personeel,DC=Amerijck,DC=local"
Leonard,Sluijer, Sluijer,,lsluijer,122,leonardsluijer@amerijck.net,0624816497,David Verloopstraat 61 ,1318 BH   ,036,5352378,Almere,Black Tulip Retail,Kiosk,Verkoper,Apeldoorn,NL,3/22/1972,AMrck63,"OU=Personeel,DC=Amerijck,DC=local"
Liza,Lopulalan, Lopulalan,,llopulalan,175,lizalopulalan@amerijck.net,0651274523,Ceintuurbaan 51/2 ,1072 ET   ,020,4275057,Amsterdam,Hoofdkantoor,Administratie,Boekhoudkundig medewerker,Den Haag,nl,,AMrck64,"OU=Personeel,DC=Amerijck,DC=local"
Louis,Roi,le Roi,le,lroi,126,louisroi@amerijck.net,0624699918,Mannus Frankenstraat 1 ,1325 LT   ,036,5351080,Almere,Black Tulip Retail,Supermarkt,Verkoper,Lyon,Frankrijk,,AMrck65,"OU=Personeel,DC=Amerijck,DC=local"
Lucille,Ball, Ball,,lball,120,lucilleball@amerijck.net,0653546467,Koolzaadweg 79 ,1313 GL   ,036,5310531,Almere,Black Tulip Retail,Kadoshop,Aankomend verkoopmedewerker,,nl,,AMrck66,"OU=Personeel,DC=Amerijck,DC=local"
Luna,Janssen, Janssen,,ljanssen,178,lunajanssen@amerijck.net,0648762519,Loowaard 73 ,1082 KR   ,020,6446740,Amsterdam,Hoofdkantoor,Administratie,Boekhoudkundig medewerker,,nl,,AMrck67,"OU=Personeel,DC=Amerijck,DC=local"
Maria,Marquez, Marquez,,mmarquez,102,mariamarquez@amerijck.net,0675360008,Westerstraat 83,1655 LH,0229,591314,Sijbekarspel,Holland House Resort,Beheer,Telefoniste/receptioniste,,nl,,AMrck68,"OU=Personeel,DC=Amerijck,DC=local"
Mariano,Ivanov, Ivanov,,mivanov,157,marianoivanov@amerijck.net,0610123494,Slachthuisstraat 8/C,2521 SH   ,070,3838404,Den Haag,Famous Frog Logistics,Transport,Logistiek medewerker mobiliteitsbranche,Belgrado,servie,,AMrck69,"OU=Personeel,DC=Amerijck,DC=local"
Marieke,Deters, Deters,,mdeters,141,mariekedeters@amerijck.net,0653468877,Tijberg 56,2716 LK   ,079,3436899,Zoetermeer,Orange Beach Camping,Camping,Medewerker camping,,nl,,AMrck70,"OU=Personeel,DC=Amerijck,DC=local"
Marieke,Ouden,den Ouden,den,mouden,134,mariekeouden@amerijck.net,0641420355,Bonairepier 17 ,1339 KG   ,036,5348087,Almere,Holland House Resort,Marketing & Communicatie,Commercieel medewerker buitendienst,Amersfoort,NL,8/7/1988,AMrck71,"OU=Personeel,DC=Amerijck,DC=local"
Marilyn,Wilbrink, Wilbrink,,mwilbrink,,,,,,,,,Hoofdkantoor,Algemene zaken,Administratief medewerker,Beekbergen,nl,,AMrck72,"OU=Personeel,DC=Amerijck,DC=local"
Mario,Lanza, Lanza,,mlanza,210,mariolanza@amerijck.net,0631815226,,,,,,El Corazon,Restaurant Madre Mia,Chef-kok,,Italië,,AMrck73,"OU=Personeel,DC=Amerijck,DC=local"
Marjo,Huisman, Huisman,,mhuisman,182,marjohuisman@amerijck.net,0691234587,Blasiusstraat 119/A ,1091 CP   ,020,6331753,Amsterdam,Hoofdkantoor,Administratie,Bedrijfsadministrateur,,nl,,AMrck74,"OU=Personeel,DC=Amerijck,DC=local"
Marjolein,Mulder, Mulder,,mmulder,165,marjoleinmulder@amerijck.net,0619850695,Perenstraat 140,2564 SJ   ,070,3606626,Den Haag,Flying Dutchman Activities,Managementondersteuning,Management assistent,,nl,,AMrck75,"OU=Personeel,DC=Amerijck,DC=local"
Mathilde,Nijssen, Nijssen,,mnijssen,194,mathildenijssen@amerijck.net,0624641168,Kasteel Aldengoorstraat 5,6222 WK,043,3478836,Maastricht,Hoofdkantoor,ICT,Medewerker ICT,,nl,,AMrck76,"OU=Personeel,DC=Amerijck,DC=local"
Mecit ,Attatürk, Attatürk,,mattatürk,,,,,,,,,Hoofdkantoor,Algemene zaken,Beveiliger,Ankara,Turkije,,AMrck77,"OU=Personeel,DC=Amerijck,DC=local"
Michael,Grol,van Grol,van,mgrol,,,,,,,,,Hoofdkantoor,Algemene zaken,Beveiliger,Nieuwegein,nl,,AMrck78,"OU=Personeel,DC=Amerijck,DC=local"
Mignon,Kretzmar, Kretzmar,,mkretzmar,105,mignonkretzmar@amerijck.net,0638305902,Achterwerf 116 ,1357 BP   ,036,5344595,Almere,Holland House Resort,Beheer,Telefoniste/receptioniste,Gdansk,Polen,5/4/1947,AMrck79,"OU=Personeel,DC=Amerijck,DC=local"
Mike,Lates, Lates,,mlates,192,mikelates@amerijck.net,0624913215,Derde Hambaken 91,5231 SG,073,6217667,'s Hertogenbosch,Hoofdkantoor,ICT,Medewerker ICT,,nl,,AMrck80,"OU=Personeel,DC=Amerijck,DC=local"
Milan,Djonbalic, Djonbalic,,mdjonbalic,132,milandjonbalic@amerijck.net,0624182452,Violetstraat 5 ,1339 AN   ,036,5354905,Almere,Black Tulip Retail,Supermarkt,Logistiek medewerker vers,Jerevan,Armenië,2/4/1968,AMrck81,"OU=Personeel,DC=Amerijck,DC=local"
Miquel,Samaraz, Samaraz,,msamaraz,167,miquelsamaraz@amerijck.net,0610610131,IJsvogelplein 16,2566 VX   ,070,3605503,Den Haag,Flying Dutchman Activities,Managementondersteuning,Marketing medewerker,thessaloniki,Griekenland,9/29/1954,AMrck82,"OU=Personeel,DC=Amerijck,DC=local"
Miriam,Natrop, Natrop,,mnatrop,150,miriamnatrop@amerijck.net,0624698294,Hannie Schaftstraat 60 ,2135 KG   ,023,5641926,Hoofddorp,Famous Frog Logistics,Orderverwerking,Logistiek teamleider,Olst,nl,,AMrck83,"OU=Personeel,DC=Amerijck,DC=local"
Mirjam,Buuren,van Buuren,van,mbuuren,,,,,,,,,Hoofdkantoor,Inkoop,inkoper,Bergen op Zoom,nl,,AMrck84,"OU=Personeel,DC=Amerijck,DC=local"
Mohammed,Dib, Dib,,mdib,112,mohammeddib@amerijck.net,0691234583,Burg Bickerstraat 38 ,1111 CC   ,020,6003474,Amsterdam,Hoofdkantoor,Administratie,Bedrijfsadministratief medewerker,Ankara,Turkije,,AMrck85,"OU=Personeel,DC=Amerijck,DC=local"
Nancy,Engels, Engels,,nengels,185,nancyengels@amerijck.net,0641463507,Spoordijkstraat 15,7205 BK,0575,515628,Zutphen,Flying Dutchman Activities,Contactcenter,Teamleider contactcenter,zutphen,nl,,AMrck86,"OU=Personeel,DC=Amerijck,DC=local"
Nanda,Wisse,van Wisse,van,nwisse,160,nandawisse@amerijck.net,0622971324,Oude Haagweg 289,2552 EP   ,070,3834285,Den Haag,Famous Frog Logistics,Bedrijfsburo,Bedrijfsadministratief medewerker,Dordrecht,nl,,AMrck87,"OU=Personeel,DC=Amerijck,DC=local"
Nasira,Saka, Saka,,nsaka,128,nasirasaka@amerijck.net,0624525484,Runmolenstraat 56 ,1333 AR   ,036,5363959,Almere,Black Tulip Retail,Supermarkt,Verkoper,Gemlik,Turkije,,AMrck88,"OU=Personeel,DC=Amerijck,DC=local"
Natasja,Walters, Walters,,nwalters,118,natasjawalters@amerijck.net,0653692571,Tureluurweg 22/A ,1113 HA   ,020,6999847,Amsterdam,Black Tulip Retail,Kadoshop,Eerste verkoper,Dalfsen,NL,6/4/1973,AMrck89,"OU=Personeel,DC=Amerijck,DC=local"
Patrick,Alvez, Alvez,,palvez,149,patrickalvez@amerijck.net,0650620346,Balg 25 ,2134 ZP   ,023,5848969,Hoofddorp,Famous Frog Logistics,Goederenontvangst,Assistent logistiek medewerker,Veracruz,Mexico,,AMrck90,"OU=Personeel,DC=Amerijck,DC=local"
Peter,Wichen,van Wichen,van,pwichen,,,,,,,,,Hoofdkantoor,Inkoop,Hoofd Inkoop,Beuningen,nl,,AMrck91,"OU=Personeel,DC=Amerijck,DC=local"
Pim,Koeveringe,van Koeveringe,van,pkoeveringe,173,pimkoeveringe@amerijck.net,0654964391,Pompstationsweg 1,2597 JT   ,070,3972122,Den Haag,Flying Dutchman Activities,Contactcenter,Contactcenter medewerker,,nl,,AMrck92,"OU=Personeel,DC=Amerijck,DC=local"
Quinta,Top, Top,,qtop,190,quintatop@amerijck.net,0685365703,Kelderswerf 65,1713 WH,0226,450001,Obdam,Hoofdkantoor,ICT,Medewerker beheer ICT,,nl,,AMrck93,"OU=Personeel,DC=Amerijck,DC=local"
Rafaela,Nugter, Nugter,,rnugter,170,rafaelanugter@amerijck.net,0613625000,Badhuisweg 62,2587 CK   ,070,3941292,Den Haag,Flying Dutchman Activities,Evenementenorganisatie,Medewerker evenementenorganisatie,Den Haag,NL,11/14/1982,AMrck94,"OU=Personeel,DC=Amerijck,DC=local"
Rana,Yildirim, Yildirim,,ryildirim,130,ranayildirim@amerijck.net,0642108905,Veldmuisstraat 8 ,1338 AK   ,036,5384567,Almere,Black Tulip Retail,Supermarkt,Aankomend verkoopmedewerker,Apeldoorn,nl,5/8/1982,AMrck95,"OU=Personeel,DC=Amerijck,DC=local"
Rashid,Rashid,al Rashid,al,rrashid,171,rashidrashid@amerijck.net,0653674322,Hendrinaland 30,2591TK   ,070,3456004,Den Haag,Flying Dutchman Activities,Evenementenorganisatie,Medewerker evenementenorganisatie,Leiden,nl,,AMrck96,"OU=Personeel,DC=Amerijck,DC=local"
Raúl,Heertje, Heertje,,rheertje,152,raúlheertje@amerijck.net,0654712975,Maredijk 50,2316 VN   ,071,5223556,Leiden,Famous Frog Logistics,Orderverwerking,Logistiek medewerker,Leiden,nl,,AMrck97,"OU=Personeel,DC=Amerijck,DC=local"
Renate,Halsema, Halsema,,rhalsema,,,,,,,,,Hoofdkantoor,Public Relations,Marketing medewerker,Enschede,nl,,AMrck98,"OU=Personeel,DC=Amerijck,DC=local"
Rob,Lawson, Lawson,,rlawson,191,roblawson@amerijck.net,0622521523,Bargerweg 90,7826 BR,0591,627403,Emmen,Hoofdkantoor,ICT,Medewerker beheer ICT,Bridge of Orchy,Groot Brittanië,,AMrck99,"OU=Personeel,DC=Amerijck,DC=local"
Roy,Makaay, Makaay,,rmakaay,145,roymakaay@amerijck.net,0624988306,Van den Berghlaan 82 ,2132 AV   ,023,5633601,Hoofddorp,Hoofdkantoor,Algemene zaken,Coördinator beveiliging,Rotterdam,nl,,AMrck100,"OU=Personeel,DC=Amerijck,DC=local"
Samantha,Schoonheid, Schoonheid,,sschoonheid,,,,,,,,,Hoofdkantoor,Directie,Directiesecretaresse,Paramaribo,suriname,,AMrck101,"OU=Personeel,DC=Amerijck,DC=local"
Samaya,Goveya, Goveya,,sgoveya,,,,,,,,,Hoofdkantoor,Directie,Telefoniste/receptioniste,Paramaribo,suriname,,AMrck102,"OU=Personeel,DC=Amerijck,DC=local"
Samira,Altan, Altan,,saltan,151,samiraaltan@amerijck.net,0651113490,Zijloeverpad 64,2315 MK   ,071,5233824,Leiden,Famous Frog Logistics,Orderverwerking,Logistiek medewerker,Boulemane,Marokko,,AMrck103,"OU=Personeel,DC=Amerijck,DC=local"
